2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-08,2016-10-09,2016-10-10
75,67,79,86,86,104,80
164,197,238,191,136,146,160
96,73,42,95,106,93,93
31,26,37,182,47,62,52
173,156,145,101,119,109,90
118,97,81,108,88,84,111
80,86,99,124,70,100,78
57,44,61,62,62,64,38
211,244,235,276,189,229,232
172,176,166,241,191,188,161
171,133,135,184,175,183,185
164,134,163,177,207,223,174
99,92,91,93,77,101,71
51,50,68,81,73,85,77
113,103,84,155,82,111,100
89,80,68,90,95,65,93
61,63,47,76,50,64,92
299,222,242,262,232,310,239
62,51,65,92,74,75,72
18,0,0,58,44,47,43
221,227,192,193,173,179,181
56,61,80,89,73,66,67
110,105,102,93,118,105,88
149,119,123,153,146,164,110
83,76,81,92,66,66,64
78,74,55,104,85,98,83
432,401,398,554,507,479,378
91,123,137,199,59,41,41
75,76,81,91,64,69,71
37,48,51,57,25,44,53
129,129,126,169,124,120,124
56,60,66,77,34,44,49
53,59,74,64,55,59,48
46,46,55,117,55,71,59
35,39,48,93,53,48,61
191,90,89,99,110,123,125
113,155,170,204,176,184,161
171,141,138,276,161,180,145
71,46,46,70,35,27,33
177,73,148,98,138,107,85
359,339,340,481,386,395,323
95,103,103,104,82,61,76
129,85,111,137,92,113,100
36,31,53,66,34,39,41
58,72,88,143,61,68,54
77,84,79,87,94,101,91
48,32,31,68,59,75,60
92,109,135,228,119,87,59
69,89,70,117,85,82,76
53,53,46,61,51,41,49
81,68,55,46,71,59,49
49,30,42,83,46,38,38
121,169,161,262,151,119,123
43,44,56,43,49,54,54
334,365,387,468,422,362,339
77,66,68,52,46,46,41
56,44,71,116,49,63,46
102,92,94,93,83,86,94
93,125,112,170,90,102,98
35,48,88,155,24,12,17
87,57,67,86,86,76,75
90,95,89,91,85,83,101
80,74,69,78,84,86,103
173,171,209,239,181,181,201
50,54,54,136,66,60,62
70,62,51,40,68,70,77
66,65,64,88,66,75,58
60,87,61,51,47,72,67
76,55,51,114,78,75,66
57,54,67,75,51,58,71
187,216,242,361,231,236,237
179,149,133,181,134,139,150
108,97,108,154,122,132,114
78,54,75,66,76,55,44
47,51,42,51,49,37,35
68,68,78,99,46,65,57
84,75,73,118,85,90,70
293,255,284,348,253,246,247
81,89,83,88,91,78,78
81,66,74,82,74,87,84
278,236,252,296,281,286,250
341,243,167,93,187,180,163
162,151,189,525,149,180,105
10,18,29,40,23,31,19
134,133,163,162,149,155,182
71,59,62,67,64,75,69
156,135,138,132,114,125,157
50,42,66,75,52,40,39
89,88,108,90,89,93,111
118,148,126,142,152,145,107
70,76,96,163,66,67,60
124,59,98,378,51,59,57
77,81,76,120,90,86,83
220,170,196,242,194,216,175
67,76,60,96,77,86,82
51,78,118,191,102,79,46
72,53,68,86,64,84,79
63,48,61,72,38,55,53
77,80,92,110,112,104,95
99,123,96,128,82,150,153
124,96,120,117,138,89,80
116,69,80,115,119,115,132
111,114,111,136,110,97,119
31,50,59,53,43,51,36
108,81,100,103,109,95,95
117,120,105,93,94,94,88
117,108,92,97,102,107,101
86,119,162,190,87,98,109
66,81,66,48,61,95,82
427,459,515,463,440,482,506
109,120,128,153,93,112,90
71,76,45,67,52,50,70
578,511,480,342,516,497,515
127,109,93,156,129,131,132
31,36,33,70,31,42,34
273,236,203,288,273,265,255
523,496,533,611,423,477,408
57,51,64,79,56,54,55
162,160,161,234,169,152,144
314,287,221,242,257,258,260
59,77,71,95,69,80,49
43,34,29,79,31,26,35
285,320,284,590,210,205,227
403,293,438,313,440,407,427
220,192,183,255,184,206,184
78,57,57,79,49,73,65
58,53,37,103,61,52,61
51,53,62,68,58,56,47
113,118,125,113,114,96,120
156,167,125,130,152,127,166
214,252,197,194,161,220,205
134,161,167,157,112,128,125
168,33,49,57,70,63,40
354,347,356,431,381,391,355
266,229,149,259,256,322,318
294,342,364,423,379,409,323
139,155,198,267,191,212,156
57,23,36,310,62,48,55
61,80,76,82,44,67,63
168,195,98,71,183,195,172
29,56,37,60,41,52,55
185,181,249,253,223,188,179
113,95,108,153,109,128,104
471,519,512,408,462,0,376
74,62,71,99,45,53,63
47,43,38,101,100,79,86
169,160,159,138,162,124,158
174,153,161,185,177,182,150
128,141,78,129,116,100,115
88,111,114,104,94,124,95
562,648,607,439,541,501,603
89,91,105,134,106,95,93
165,143,137,206,161,167,177
209,165,127,137,165,202,171
48,33,69,52,65,68,38
141,153,168,210,141,114,108
150,130,94,121,153,182,179
224,203,281,366,194,210,200
157,114,113,177,102,104,114
97,84,84,90,81,81,80
223,196,200,222,160,190,185
159,93,94,327,117,130,118
63,73,83,97,80,79,66
68,50,59,55,87,96,68
57,57,97,100,62,55,67
127,129,133,173,123,158,159
81,85,78,98,77,76,65
44,54,52,103,36,53,37
328,316,368,215,387,341,372
108,107,113,150,100,98,91
72,83,67,98,89,108,105
156,89,86,150,148,147,176
188,166,142,180,164,159,189
150,176,140,192,180,226,237
80,85,66,94,89,96,68
340,348,330,649,420,520,316
76,88,107,91,116,89,73
84,48,62,74,65,65,72
157,143,148,217,168,174,161
106,116,96,129,98,117,105
103,92,93,104,93,87,91
144,123,137,174,160,129,131
74,87,115,128,71,91,89
233,227,255,235,212,0,128
48,42,60,63,53,58,35
269,266,256,393,323,325,282
96,107,106,112,86,101,98
253,263,262,241,200,220,225
88,113,104,114,98,83,97
282,306,264,236,225,225,294
70,65,75,130,51,45,63
99,1,45,103,62,70,52
69,45,33,47,61,32,35
101,139,117,117,158,121,128
67,63,51,50,55,62,59
165,162,152,146,121,147,119
158,167,146,176,157,139,154
118,150,137,190,153,148,106
191,200,207,197,175,197,232
185,177,181,141,142,133,136
66,58,55,57,69,66,68
43,57,44,173,89,121,88
67,55,46,61,53,63,62
116,118,99,108,95,70,91
72,94,62,86,89,90,84
202,247,201,122,298,268,299
124,121,117,149,133,123,119
151,124,120,166,141,121,114
177,145,181,239,209,194,158
48,80,39,61,52,50,46
38,52,53,67,24,50,50
67,41,49,54,34,63,61
38,55,85,99,76,60,35
45,44,32,49,29,54,32
114,98,132,91,86,90,106
185,209,214,225,180,182,163
25,26,51,69,31,30,29
203,169,191,258,223,216,196
78,47,44,82,91,43,53
74,37,41,71,89,80,62
122,37,81,332,99,106,85
66,84,83,58,47,51,76
24,79,81,72,30,41,42
199,202,173,238,128,165,157
56,56,56,117,71,82,48
81,92,85,141,82,100,88
78,94,106,66,91,92,96
32,42,59,194,49,46,41
218,229,382,660,246,184,257
313,325,349,269,280,269,284
461,441,403,497,520,528,471
152,203,239,153,137,155,158
233,221,212,278,205,219,230
108,88,86,100,103,117,122
114,115,135,159,142,164,127
92,120,117,132,77,105,117
80,43,33,92,105,83,96
58,57,55,84,64,69,51
83,78,47,55,88,69,68
192,183,188,241,209,232,242
74,92,98,95,103,85,64
168,182,162,229,180,150,191
184,183,176,152,126,122,126
122,148,158,124,133,129,139
168,171,139,153,169,144,147
254,258,248,300,288,338,248
108,79,95,85,89,97,96
54,40,99,118,64,96,34
0,9,14,0,13,28,25
80,62,84,110,56,84,82
236,221,208,210,186,214,201
482,469,500,487,400,490,396
48,81,64,53,51,47,57
68,115,135,146,69,72,77
18,33,31,33,18,38,28
127,141,133,170,124,122,145
46,34,61,100,23,26,39
135,117,77,95,116,133,96
39,35,39,70,43,52,34
114,66,71,71,114,96,114
68,56,63,93,74,70,53
61,49,50,57,71,79,56
93,88,106,130,94,95,88
155,45,237,397,140,114,129
110,118,80,117,86,97,115
135,69,131,136,111,131,135
41,32,33,49,39,48,35
118,115,108,77,99,86,111
69,69,62,67,66,62,53
29,37,62,112,19,41,34
91,104,85,105,97,91,80
40,56,74,68,35,45,31
367,403,383,501,334,312,38
405,453,475,472,373,385,417
98,89,93,211,59,76,67
59,59,58,81,76,55,68
139,122,150,483,106,96,122
86,74,71,81,64,70,75
172,179,148,270,246,224,183
106,85,103,131,71,78,80
63,67,72,89,68,56,46
83,49,26,221,76,73,95
178,159,180,250,131,173,141
23,28,46,56,45,39,55
283,301,288,321,231,266,245
183,228,185,151,175,162,186
19,15,32,61,33,34,22
74,53,41,62,69,60,70
101,92,120,139,110,122,107
254,194,233,240,211,218,217
52,59,53,58,86,60,69
74,64,60,73,93,51,57
124,78,65,165,112,153,138
51,63,51,66,75,76,53
45,50,72,73,45,56,55
87,58,167,306,156,104,90
4,6,1,143,3,6,7
262,256,276,330,237,227,235
59,44,51,58,53,54,55
53,64,87,105,72,54,63
108,105,109,129,147,129,136
86,71,94,129,84,80,73
0,0,0,0,302,397,387
70,57,100,107,68,68,69
112,98,81,109,100,113,80
43,39,29,53,56,50,49
52,68,46,60,66,42,47
42,65,60,127,52,49,64
57,64,65,68,116,82,105
454,381,446,650,409,471,411
0,0,1,0,80,78,87
50,19,32,50,30,24,39
120,135,123,166,113,123,124
108,85,90,76,93,84,94
70,86,81,93,95,97,80
53,60,45,46,51,52,38
53,74,44,64,66,67,69
56,61,76,114,69,62,63
50,61,62,72,64,81,83
86,67,80,126,78,64,77
81,77,64,76,52,44,66
78,62,78,109,72,124,65
139,74,107,194,124,124,111
77,69,66,126,81,78,64
53,63,36,79,65,73,56
63,63,78,83,81,86,61
82,65,92,92,65,77,70
27,30,39,56,23,41,24
244,295,259,366,290,280,281
70,60,49,66,85,77,85
203,46,83,87,64,102,89
56,47,88,130,78,74,60
59,65,73,94,48,40,37
116,95,131,106,127,118,138
50,70,67,169,56,56,44
51,46,41,67,81,75,79
47,64,52,63,57,42,37
136,134,144,154,148,141,109
125,168,177,91,0,41,115
125,102,134,132,124,25,0
119,99,93,91,94,100,101
76,65,80,80,71,74,63
165,131,107,108,78,100,115
34,83,67,91,70,63,56
279,100,146,517,243,207,204
154,182,139,161,124,127,148
60,89,231,378,39,57,26
67,51,55,63,71,62,63
152,127,134,155,116,123,130
88,37,54,54,90,106,88
133,141,141,157,142,118,118
75,59,74,293,92,84,84
175,140,161,199,138,114,106
92,80,99,84,81,71,80
2383,1251,1617,2121,1779,1861,1648
46,54,54,65,78,81,57
200,184,170,224,173,168,182
50,49,90,133,61,84,85
130,92,83,69,58,60,45
111,101,105,167,147,125,109
48,47,62,52,37,41,41
67,76,95,64,67,76,84
79,92,74,68,82,81,70
97,81,87,121,79,103,104
52,56,53,62,75,65,62
394,378,418,584,429,411,355
121,132,105,119,107,103,124
933,964,915,808,937,954,1013
125,81,113,173,125,118,110
109,64,86,91,98,89,103
129,106,183,153,132,129,141
34,35,26,68,27,31,22
192,157,177,184,168,187,157
81,63,67,79,76,92,87
121,109,93,173,121,105,99
44,33,53,82,51,36,21
63,98,94,117,69,99,78
96,75,86,111,76,99,65
215,229,201,220,186,177,159
94,77,69,97,79,95,86
63,63,91,78,78,71,54
49,87,91,264,132,129,112
147,134,132,336,116,114,110
61,78,75,92,67,54,22
75,34,0,81,51,46,41
113,112,93,138,115,103,112
43,33,23,71,77,81,89
82,77,97,98,75,76,94
77,109,89,77,75,96,80
100,108,101,116,92,104,87
254,222,252,248,271,307,271
51,69,78,108,72,74,58
0,0,34,236,131,140,129
45,38,59,69,68,59,45
282,279,333,386,250,265,313
112,96,82,335,80,135,124
246,0,224,204,243,234,230
151,185,217,532,194,182,162
85,72,78,62,56,95,100
69,66,78,63,75,54,71
66,57,46,83,41,42,33
172,155,188,242,177,201,184
276,238,260,327,258,264,271
71,59,70,112,71,70,63
86,69,79,101,71,59,78
127,104,118,171,129,141,113
215,40,140,162,123,170,147
138,151,118,213,129,143,157
149,159,147,158,136,148,172
354,242,263,387,344,338,350
39,48,51,69,53,45,51
48,40,51,58,56,58,45
165,168,125,170,155,125,160
71,74,71,96,62,67,65
498,346,458,577,498,648,475
184,158,121,121,143,172,150
100,91,103,124,117,105,107
507,567,622,731,627,739,513
64,62,54,75,60,69,70
57,36,62,79,58,46,48
49,40,41,76,34,32,36
70,78,92,120,77,87,75
100,80,72,89,77,66,86
96,95,69,84,97,87,87
112,124,115,148,152,138,114
54,39,40,64,48,60,33
51,60,42,59,36,39,50
150,224,119,104,99,144,117
44,39,47,87,46,43,55
300,240,252,391,376,391,372
114,116,150,300,138,135,130
29,26,73,97,56,66,46
449,365,361,523,280,334,366
39,41,41,56,39,44,58
61,52,54,92,58,74,61
69,82,55,126,79,79,85
58,39,31,52,58,54,54
217,181,194,251,214,238,178
86,89,94,87,97,97,110
70,74,79,101,69,70,61
42,22,31,76,65,81,82
147,159,142,132,133,133,164
67,58,47,88,74,66,55
100,121,132,162,131,144,138
91,49,62,114,101,86,96
228,232,277,273,301,273,282
76,69,80,81,88,75,84
63,71,104,119,72,63,62
118,118,124,112,140,143,134
82,74,89,132,87,106,90
188,159,131,186,177,221,166
161,225,210,241,187,185,183
112,96,100,180,116,147,135
60,66,83,142,78,92,78
111,63,78,101,71,51,54
225,194,104,193,174,164,198
61,76,81,105,82,73,61
183,148,158,195,150,148,160
128,125,130,133,164,103,114
33,43,59,65,46,53,39
120,89,109,131,102,127,102
156,147,112,148,138,155,185
85,96,105,95,83,118,83
117,98,120,104,118,102,101
317,303,282,317,217,194,267
147,167,176,320,157,161,175
105,106,81,150,127,132,115
61,71,93,145,116,111,102
175,152,179,223,161,139,173
140,87,76,431,85,41,40
69,67,71,81,51,52,41
84,61,53,83,75,85,81
71,38,42,44,63,55,47
81,81,58,61,99,89,68
308,262,224,208,253,233,216
312,327,307,404,241,295,291
95,59,72,105,101,67,97
113,170,232,500,131,164,118
66,54,55,52,66,56,62
96,122,141,149,134,125,128
106,80,96,116,97,109,87
30,28,46,40,42,46,29
149,139,119,124,120,105,108
92,35,29,267,103,106,124
115,103,116,156,126,142,101
89,78,88,98,94,79,50
168,170,179,169,166,139,156
553,510,528,563,608,599,548
303,349,317,312,245,280,301
107,93,135,167,213,219,170
108,94,93,132,102,109,102
80,101,118,228,134,93,105
172,81,50,52,57,60,50
323,239,202,180,165,178,200
53,64,69,88,45,56,63
120,196,215,422,106,150,149
0,0,0,0,0,0,0
76,64,48,81,57,68,56
97,80,76,104,77,107,87
92,66,54,70,87,100,117
81,72,105,109,60,81,92
35,64,51,90,73,60,49
74,70,80,137,101,99,84
69,74,97,149,86,59,87
278,273,238,255,262,324,257
149,81,88,170,160,186,137
96,89,102,113,78,74,77
143,148,126,188,134,126,134
171,179,171,210,206,204,176
63,69,86,191,102,89,106
78,80,65,81,88,80,72
75,61,47,73,198,184,231
75,67,65,80,80,62,82
132,106,113,160,119,120,117
127,93,121,221,104,91,108
96,106,87,84,92,88,84
480,591,670,705,563,587,476
38,23,0,0,61,41,52
64,68,97,111,97,69,65
39,33,34,59,60,84,80
40,52,38,59,56,55,48
64,68,80,94,71,66,60
239,228,212,236,245,244,259
133,120,108,149,156,149,115
69,67,58,105,92,79,68
128,114,107,118,108,97,89
82,62,53,83,61,79,70
94,97,100,127,76,112,91
187,180,182,200,207,168,176
89,87,114,125,94,98,79
71,58,55,45,68,68,71
154,155,151,133,139,145,127
119,120,136,183,151,154,104
88,72,61,79,62,83,75
138,105,89,83,103,77,109
62,45,45,56,53,56,48
76,60,89,65,70,88,66
0,0,0,0,0,0,0
86,68,89,107,82,58,69
86,111,95,151,90,108,91
68,54,69,55,45,51,65
99,83,103,121,102,79,91
53,54,52,77,50,63,32
71,62,70,63,55,61,80
81,75,75,106,47,98,91
58,74,81,61,89,81,92
49,52,72,68,47,61,63
71,72,70,74,75,50,72
121,122,122,136,117,87,108
81,49,72,73,60,59,51
203,196,197,223,267,250,204
142,103,117,124,138,147,103
272,219,211,298,228,216,221
123,176,188,142,118,103,126
98,70,77,253,70,82,78
117,45,38,90,61,61,78
93,90,111,130,152,140,129
175,160,154,158,147,150,157
120,177,157,62,72,229,133
0,0,52,168,0,131,142
168,162,174,256,148,178,167
36,28,36,40,26,44,28
141,105,118,151,133,121,116
55,62,60,74,51,55,61
80,82,100,111,73,92,80
405,425,398,445,428,431,436
227,219,200,249,268,243,272
266,264,233,303,255,305,221
2019,1811,1600,1240,1067,1497,1698
71,90,103,143,109,143,98
99,3,55,140,79,123,100
144,134,138,216,136,120,118
59,67,78,83,57,58,70
114,111,108,132,86,91,89
290,308,373,449,347,391,357
112,143,212,407,148,158,120
0,0,21,73,69,97,71
92,89,153,401,85,99,77
52,54,49,63,90,93,77
48,54,55,76,67,53,70
98,127,140,85,116,108,116
82,95,99,134,76,75,74
91,74,61,72,0,0,51
71,61,38,83,74,54,53
328,272,315,427,430,436,390
109,100,136,176,120,127,114
134,98,88,99,76,63,37
133,143,128,138,109,118,149
133,86,89,96,82,67,79
78,491,386,225,123,79,29
70,52,47,91,54,67,61
116,63,73,100,139,153,131
103,89,120,138,133,95,79
198,182,156,187,112,122,172
119,123,153,184,137,146,135
79,66,69,87,2,39,65
146,97,81,138,133,106,131
145,112,114,162,114,112,86
97,91,103,159,105,106,97
117,124,110,176,152,139,102
84,78,112,164,93,105,105
56,52,63,87,67,67,54
110,101,102,100,114,139,103
38,50,51,59,54,58,48
71,43,63,67,66,72,45
68,54,90,84,96,70,99
44,60,222,802,102,141,88
49,41,51,85,55,64,52
70,53,68,64,75,107,109
167,161,168,201,131,136,114
135,101,108,189,119,134,145
159,157,181,252,184,194,154
327,329,387,406,277,286,344
197,170,217,243,213,298,212
212,204,173,208,199,214,209
129,105,104,111,114,98,122
247,182,183,220,149,196,217
109,104,131,125,117,124,104
117,134,114,209,161,153,188
30,44,41,38,47,62,30
120,104,94,118,105,107,95
64,67,46,65,55,59,69
88,67,66,77,70,69,66
75,57,72,71,49,44,51
90,87,63,86,73,95,69
325,367,343,332,334,341,356
168,139,195,185,168,165,181
76,35,49,55,57,46,64
51,95,90,94,76,99,77
213,191,191,165,178,183,203
41,46,65,75,44,48,41
171,185,147,65,161,155,167
136,89,85,102,90,118,117
67,56,63,64,53,76,55
89,48,37,99,74,66,98
101,95,98,109,114,85,107
74,83,103,102,92,95,91
169,124,131,233,164,163,189
97,48,66,76,88,89,81
37,32,46,74,47,48,37
222,221,221,152,189,217,245
82,72,92,366,94,106,102
182,209,199,185,187,166,196
385,391,402,547,486,460,477
60,69,65,83,58,88,69
270,347,565,972,356,334,180
43,56,49,72,57,63,54
0,0,0,0,0,0,0
46,47,61,87,38,51,43
159,139,158,155,162,165,198
83,76,92,107,98,83,71
265,235,220,235,211,200,204
48,48,52,52,44,44,51
289,227,235,302,303,292,295
115,120,93,121,129,147,120
46,51,68,103,41,47,44
78,83,84,91,62,62,73
237,266,196,205,216,262,210
143,121,91,156,217,180,184
81,61,60,75,47,82,69
105,87,91,88,128,115,125
91,97,89,102,93,112,87
478,383,416,423,525,520,527
84,68,93,102,65,78,96
66,68,63,64,66,61,75
61,69,48,107,64,55,48
362,169,247,1215,394,405,445
61,96,77,127,86,97,78
271,193,165,221,211,221,200
68,81,68,50,54,65,67
38,31,48,58,87,55,51
68,71,82,111,66,79,74
120,116,99,104,101,108,91
88,81,96,123,76,90,104
104,91,67,73,84,67,96
161,148,140,149,134,149,128
63,64,58,105,75,94,82
151,191,364,689,204,170,133
48,41,26,59,57,44,44
32,20,16,52,29,49,35
55,61,54,68,80,65,58
60,64,59,61,75,65,58
63,61,77,63,101,93,72
109,45,42,90,69,59,45
75,29,52,166,84,67,65
157,152,171,149,134,131,125
69,69,88,112,90,80,64
173,233,391,886,187,174,140
70,69,51,66,83,100,52
73,65,67,106,77,106,64
82,74,84,103,85,71,72
432,345,400,518,506,560,464
60,63,40,45,47,31,50
37,48,52,43,38,35,45
48,41,50,100,55,43,40
77,78,85,88,58,91,126
89,77,44,109,106,89,107
488,1302,494,598,560,642,553
88,81,110,124,117,124,114
182,194,157,206,147,150,164
73,25,37,49,54,60,51
549,474,333,504,542,629,710
211,173,182,259,239,241,193
388,356,340,356,348,322,337
156,162,141,120,132,120,131
254,243,237,233,199,273,257
281,13,255,494,264,311,260
245,187,197,246,231,193,261
66,85,60,76,55,69,44
193,207,206,223,179,170,201
184,145,159,126,142,153,171
233,232,230,255,160,189,233
148,134,83,64,110,93,88
301,39,341,270,196,222,225
218,179,180,259,190,183,226
49,47,54,50,45,25,52
68,80,81,104,64,70,67
80,48,58,89,76,75,78
89,90,112,134,88,130,110
60,85,74,77,105,95,91
71,69,58,95,100,100,88
169,139,139,179,166,178,174
93,83,126,126,85,112,79
47,77,63,65,51,71,54
53,48,50,58,59,59,29
96,104,109,68,88,70,93
133,100,89,131,120,142,134
32,42,51,58,31,36,47
476,672,634,820,504,569,428
198,203,200,229,189,197,196
50,54,44,50,50,54,56
67,70,86,125,83,126,95
184,156,153,168,127,169,162
107,88,94,95,78,98,98
269,300,313,438,297,334,250
133,117,135,97,133,127,104
85,85,70,120,113,107,103
612,505,671,744,582,638,536
131,128,117,130,99,108,117
72,84,87,86,68,80,82
69,69,61,77,62,63,66
72,73,77,90,43,60,37
68,70,52,84,61,90,82
102,90,89,96,109,137,103
72,84,91,121,63,77,86
124,80,85,106,87,78,83
124,114,127,159,115,122,109
255,196,124,327,225,234,224
50,52,64,75,54,59,74
129,107,104,145,90,100,102
86,81,93,123,72,83,57
67,92,89,111,63,54,57
88,66,86,129,102,124,102
258,321,312,399,253,271,295
82,80,70,106,58,64,73
56,54,62,91,62,81,76
43,35,57,89,35,38,44
112,70,63,101,56,63,66
162,72,132,95,115,121,99
69,74,74,105,74,109,90
106,65,81,213,89,102,91
168,136,144,111,129,139,158
108,77,42,173,9,84,117
101,89,105,113,67,81,80
73,76,41,114,67,65,45
116,126,130,131,106,96,107
56,48,62,68,50,57,41
58,72,64,58,66,62,56
151,142,148,133,171,141,183
69,65,61,70,54,58,51
89,79,96,363,85,86,100
660,519,568,872,749,786,688
141,157,125,109,117,104,135
48,41,49,64,32,41,39
64,74,89,179,91,86,71
61,61,48,86,87,98,88
103,140,124,101,106,96,117
108,79,57,111,113,105,108
55,44,42,62,53,53,39
45,48,67,63,54,63,47
65,55,81,127,73,61,65
48,52,76,89,40,50,40
64,81,99,134,67,59,56
123,108,72,103,140,123,117
87,87,84,85,74,71,78
83,89,76,76,99,105,93
72,68,77,81,59,95,67
176,132,129,140,151,127,148
160,165,170,249,177,194,180
113,107,131,124,70,68,80
139,147,109,173,142,170,151
169,142,115,63,95,114,101
106,83,92,104,93,163,101
55,60,69,90,48,47,50
186,156,202,213,172,165,160
51,0,0,150,158,159,180
232,184,173,313,225,222,201
87,116,86,86,91,86,101
266,304,284,351,257,251,252
72,95,101,145,117,105,119
105,104,57,40,68,76,79
125,182,149,388,144,134,110
88,86,77,87,92,79,65
108,120,126,74,117,90,100
118,91,100,92,62,73,84
140,129,131,144,124,114,134
118,114,126,145,125,145,133
126,149,146,140,121,108,148
97,69,99,108,113,112,126
144,145,175,206,145,155,158
180,158,157,149,203,198,186
106,109,115,114,99,97,120
96,116,101,145,110,89,110
94,93,77,94,89,68,88
97,101,116,110,89,106,106
154,155,162,180,148,153,164
114,98,95,123,120,104,116
72,82,113,145,81,80,68
67,88,166,319,69,64,30
100,132,153,165,118,101,108
87,93,95,161,59,74,90
91,55,74,112,98,68,90
313,330,316,271,248,261,293
92,103,98,111,111,101,131
91,58,64,78,61,77,84
255,280,194,402,304,338,304
140,118,156,163,179,158,160
111,84,131,188,148,114,74
87,100,115,135,105,75,97
