2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24
71,62,69,70,142,127,71
103,112,96,142,129,167,94
90,60,66,77,86,124,99
63,62,64,69,71,76,55
235,181,252,250,239,479,266
63,73,73,73,105,82,76
42,59,33,35,69,66,40
197,178,227,230,118,124,168
88,85,88,70,96,87,72
88,105,106,84,133,110,123
135,153,103,148,196,249,117
65,75,93,64,81,64,82
100,83,62,72,76,134,95
416,396,400,466,581,811,476
61,71,81,1,79,52,45
0,34,76,41,53,54,73
31,30,56,32,75,88,22
108,124,132,142,184,177,98
50,43,37,33,27,23,53
51,38,55,58,96,114,55
31,36,44,24,119,133,58
32,38,37,55,82,83,42
143,147,109,127,75,65,119
161,135,137,164,149,253,194
186,127,179,171,214,345,196
27,34,22,71,62,100,44
195,201,230,162,135,170,166
354,356,363,355,666,767,390
85,89,114,97,110,64,89
84,93,111,123,100,112,100
56,53,52,63,96,92,43
56,65,66,77,193,193,47
91,92,111,108,207,196,116
66,60,34,58,48,114,79
73,66,91,153,135,143,94
81,93,85,106,127,133,92
41,44,50,62,96,94,37
74,77,74,62,50,64,95
33,39,33,34,83,84,39
124,130,121,159,333,308,111
42,48,42,42,51,37,46
369,353,353,465,588,584,337
47,51,51,40,20,11,74
39,69,34,64,50,69,54
114,100,94,107,61,53,90
85,112,114,148,153,161,91
22,32,22,34,32,25,30
67,87,72,92,125,88,73
72,80,87,77,19,20,96
84,89,90,91,64,77,86
182,175,205,181,165,199,196
40,26,46,61,104,104,60
57,56,42,55,61,83,78
53,58,81,81,115,93,83
79,68,56,57,75,86,77
70,85,55,71,67,76,65
75,56,61,62,76,75,58
235,254,229,394,619,656,228
157,129,144,175,165,186,143
128,108,117,147,179,190,131
52,47,28,41,42,51,49
47,46,55,53,58,77,66
75,69,68,60,64,61,75
72,80,80,104,115,125,78
302,310,306,338,235,254,290
101,73,81,79,123,115,97
89,55,97,75,51,66,80
218,202,195,272,404,361,202
123,158,259,162,190,219,204
105,139,172,156,165,173,146
22,23,24,20,77,108,26
150,212,144,164,168,161,183
78,57,62,49,47,66,62
166,145,176,131,63,53,173
50,52,63,59,97,85,51
107,121,89,117,55,34,110
110,101,180,88,204,202,179
60,69,70,82,136,130,64
97,153,171,108,86,126,100
90,82,96,91,64,66,72
177,175,199,225,264,290,196
84,91,74,86,70,85,96
50,57,58,98,91,66,46
73,57,68,61,60,83,82
47,81,50,77,77,76,58
84,79,101,133,188,160,76
108,132,114,139,107,133,121
88,126,90,98,102,121,101
81,73,112,94,102,144,138
95,105,95,115,152,156,114
43,54,41,54,54,56,35
81,112,104,99,102,106,93
75,79,143,50,85,57,103
121,102,78,72,70,84,126
89,83,78,75,122,98,101
62,70,61,52,67,52,49
533,574,569,487,422,449,575
104,130,110,131,138,145,100
69,55,66,18,49,39,68
496,539,711,583,603,558,618
126,116,103,113,111,208,143
27,36,32,44,83,84,30
201,249,293,270,418,405,260
411,415,464,424,696,592,445
60,65,56,71,101,102,62
158,146,155,177,175,229,153
294,257,259,259,138,123,295
43,66,47,68,106,85,62
35,30,13,23,36,41,24
268,280,262,311,243,279,261
342,432,580,340,179,229,413
208,194,216,258,262,266,221
80,68,61,70,100,144,69
42,62,67,51,80,70,46
67,60,64,55,52,50,67
134,129,129,177,74,52,136
131,121,152,133,114,88,168
191,233,190,211,187,181,165
117,128,137,143,116,102,117
48,48,91,63,71,83,74
327,391,398,436,498,599,398
265,256,340,353,320,295,341
414,370,308,415,694,746,373
148,150,160,185,217,290,205
42,46,50,68,57,73,62
88,65,93,85,107,87,57
176,173,159,125,80,126,188
27,34,45,55,82,95,52
200,200,187,301,240,220,210
71,97,108,115,180,143,100
441,444,502,215,102,123,523
51,65,61,86,108,121,73
113,92,40,64,39,41,71
160,149,180,183,105,94,167
124,150,235,135,234,242,146
108,107,112,140,23,13,104
89,95,122,105,103,129,117
634,600,627,92,220,284,568
139,120,163,169,193,131,116
172,156,154,163,134,167,165
36,1,201,209,111,160,234
51,42,50,56,115,129,41
124,141,144,171,172,172,116
192,168,267,94,122,230,217
183,223,170,317,415,386,216
111,113,103,106,150,133,136
65,68,89,78,99,75,75
202,210,175,212,209,163,187
102,105,116,81,73,86,150
56,64,72,65,112,89,49
75,51,65,70,112,99,65
47,66,67,81,77,81,70
114,132,149,161,148,221,144
74,92,68,77,57,70,63
33,37,43,95,126,108,38
412,394,363,384,77,81,349
86,107,82,113,151,127,104
108,105,79,66,78,148,95
135,170,156,140,141,161,156
158,158,183,166,86,59,198
209,199,227,196,281,334,230
77,77,81,110,128,130,65
361,379,328,359,887,1092,378
73,81,81,102,145,132,87
56,76,66,74,59,79,63
150,131,93,206,309,322,126
110,132,124,98,109,99,123
138,158,176,136,135,88,81
119,127,162,169,210,144,113
83,97,87,109,114,99,70
194,238,229,231,207,233,264
53,31,51,49,51,63,47
255,237,243,275,440,471,269
93,102,102,81,115,75,99
279,304,274,272,108,97,262
127,106,94,111,81,90,105
282,296,275,289,1,11,276
51,61,26,59,64,70,64
66,69,57,69,57,85,62
68,54,48,75,47,27,86
112,122,157,163,148,153,111
65,58,51,53,63,56,57
176,180,153,159,90,104,182
152,121,125,181,202,190,147
104,110,111,100,205,237,113
214,235,246,273,126,112,188
133,144,156,149,134,111,116
90,64,66,79,62,68,58
99,104,94,120,172,170,80
53,52,59,84,85,87,68
109,87,90,91,51,30,75
96,65,79,73,57,95,95
322,315,262,239,165,150,365
95,88,124,138,149,159,103
191,177,155,215,382,474,157
229,220,210,193,327,329,194
56,49,44,51,51,74,57
64,41,43,50,62,78,45
56,66,90,64,87,60,66
55,56,44,60,57,70,36
33,54,17,41,48,40,42
128,117,113,127,94,93,110
157,167,161,176,175,155,147
42,30,38,46,109,101,25
188,192,183,224,280,289,182
43,43,37,37,37,48,47
46,53,54,44,59,85,90
92,86,98,67,71,93,101
92,83,88,89,30,25,79
55,34,36,44,49,63,33
167,180,189,249,185,218,163
65,62,68,93,88,93,60
84,70,65,114,121,128,61
99,96,102,120,112,87,91
42,64,49,86,182,157,31
211,240,171,403,257,266,239
361,367,333,270,130,131,305
290,415,585,349,543,532,464
164,185,166,150,197,159,155
272,246,226,217,166,195,215
104,84,101,107,71,74,115
141,103,101,0,118,242,108
108,112,120,129,99,118,117
76,79,63,93,149,183,85
80,69,86,67,79,79,79
85,85,95,121,76,65,106
214,218,167,183,147,232,249
76,85,79,100,125,133,79
177,132,122,173,242,335,161
148,160,149,154,113,69,175
179,199,185,164,186,203,224
182,155,159,151,194,245,212
249,294,317,345,479,527,288
103,99,73,101,93,98,85
72,69,43,133,102,143,62
13,21,14,30,25,29,22
107,82,78,87,47,28,76
171,214,206,164,182,162,206
423,429,365,483,666,579,443
92,74,68,67,39,42,68
46,44,95,6,117,95,50
18,35,36,28,43,61,24
138,131,108,171,185,175,149
25,33,57,44,31,43,48
87,85,113,87,95,82,79
34,57,37,59,102,86,23
77,57,117,107,101,85,66
77,66,62,83,200,175,65
61,64,74,63,127,124,55
98,98,90,113,145,163,91
156,185,180,236,188,160,127
158,126,136,108,59,79,127
188,165,180,175,157,167,165
42,28,42,66,52,45,37
100,94,126,55,92,94,93
55,56,64,64,81,112,73
45,42,52,54,74,91,43
62,87,158,81,67,91,94
30,27,37,32,70,92,46
322,326,341,384,1152,813,327
410,465,467,514,575,534,394
100,111,77,46,49,34,50
56,76,67,82,97,103,67
139,132,141,152,140,149,151
71,85,70,77,75,78,91
216,170,186,173,248,366,206
100,90,93,129,142,115,80
68,71,52,78,89,87,57
109,71,61,56,47,105,109
167,234,229,235,232,184,186
32,33,44,41,59,46,46
264,265,228,201,98,91,206
195,194,182,153,49,48,173
22,17,20,41,78,93,24
60,70,43,49,53,71,71
103,116,112,148,197,209,128
179,216,239,235,250,340,241
60,55,65,56,53,50,65
72,50,66,59,75,61,53
114,157,114,130,132,183,149
46,39,60,52,102,95,68
32,45,30,58,101,140,54
86,92,93,178,139,164,111
5,7,10,63,97,47,7
251,286,277,300,92,38,264
55,51,58,56,54,68,52
68,70,54,69,94,102,54
129,156,169,152,156,184,164
75,81,65,86,169,172,62
417,324,365,363,594,858,438
51,56,55,78,180,116,67
87,91,90,69,109,114,102
44,42,52,58,73,74,41
64,58,61,55,79,72,80
48,39,56,92,117,127,34
91,90,80,78,115,101,99
411,497,353,573,665,655,449
100,99,91,78,39,38,111
32,19,1,11,6,4,2
129,115,129,127,121,99,129
71,55,79,62,28,32,98
79,65,91,89,75,116,104
31,39,65,29,48,40,43
70,65,68,54,110,133,63
52,57,45,0,66,53,53
54,59,59,72,74,54,41
72,76,60,100,140,130,77
55,75,73,71,71,58,69
81,70,58,218,221,291,89
82,91,125,108,81,164,127
74,64,66,101,83,102,84
62,54,63,32,42,75,58
73,65,61,61,82,78,90
94,88,67,76,63,63,72
42,29,46,37,64,57,24
250,257,260,251,363,366,267
77,79,46,94,110,88,73
139,131,119,115,115,117,123
54,59,72,63,106,124,59
37,53,61,54,124,118,43
102,110,109,104,93,155,110
77,57,53,136,115,128,56
77,96,35,85,73,103,121
54,49,47,59,80,66,60
117,138,133,224,283,264,112
189,196,212,141,115,129,155
118,128,152,145,227,203,112
93,104,101,101,94,71,114
76,73,90,126,112,82,72
97,83,116,105,55,24,123
57,55,54,85,142,153,78
229,222,294,256,233,202,294
140,173,148,142,83,93,153
34,45,47,76,35,77,37
52,72,68,57,60,62,65
132,138,124,144,208,204,128
98,65,47,105,94,85,62
151,120,148,144,162,151,142
57,84,94,107,77,109,93
103,122,134,146,164,160,139
92,80,87,80,88,79,85
2668,1485,1751,1845,3560,3944,1586
61,40,48,63,75,105,65
188,190,186,231,202,210,174
100,107,94,83,95,71,7
62,65,58,38,68,91,66
97,117,132,161,185,173,119
35,67,43,41,60,52,50
73,84,72,84,5,0,56
25,43,60,42,69,65,49
93,81,77,91,117,130,91
64,51,59,57,32,39,72
376,363,357,415,614,617,337
123,115,118,103,86,68,115
633,699,976,180,199,92,928
151,114,120,129,139,202,102
111,103,115,108,131,173,120
165,87,115,51,80,101,131
29,22,33,57,98,76,38
180,186,213,191,198,223,150
65,71,78,76,72,105,87
103,126,92,140,168,210,107
37,45,38,41,133,122,29
74,93,110,108,110,97,73
69,82,64,81,109,87,99
155,137,155,156,169,164,187
69,89,85,102,110,93,86
82,72,67,89,95,103,60
44,70,87,111,112,154,83
64,92,175,130,374,267,120
76,68,56,61,102,97,48
77,95,89,94,98,101,73
143,105,100,112,115,180,121
78,68,55,55,64,116,70
102,102,102,96,93,89,90
101,104,92,95,98,124,94
93,100,120,114,149,183,103
229,298,250,315,352,359,261
97,77,71,116,174,169,84
31,83,88,104,48,180,153
40,54,41,54,44,34,62
209,298,290,310,302,281,344
77,107,99,114,107,115,112
245,244,239,183,38,45,223
155,133,163,165,133,185,136
73,75,90,54,6,8,71
76,99,81,66,14,14,67
42,58,41,39,63,50,48
168,184,174,248,343,307,145
268,254,282,323,307,276,258
74,88,18,94,94,93,66
73,76,56,84,59,59,61
88,125,106,144,179,246,105
252,201,209,130,138,241,207
152,137,150,182,177,205,171
163,191,185,160,95,108,197
312,327,328,387,395,432,388
45,53,47,60,74,72,50
48,51,58,88,51,44,49
173,157,188,165,136,125,190
64,79,70,81,84,86,69
462,511,558,529,596,814,520
86,127,140,120,152,73,120
125,114,115,121,128,170,119
491,567,532,558,789,1065,545
105,76,59,65,75,95,86
38,45,35,46,94,73,26
41,32,38,74,100,103,31
92,74,86,93,110,153,89
78,83,94,79,54,96,112
104,98,73,107,67,88,85
101,109,90,100,134,157,123
37,47,36,71,67,78,49
47,45,49,68,70,58,42
141,111,126,135,142,144,117
54,43,39,61,81,66,32
306,310,245,308,445,575,400
183,175,189,241,327,282,190
38,24,33,63,126,120,42
417,396,282,224,101,197,492
54,38,49,43,52,52,35
82,67,41,73,65,87,81
73,68,83,100,73,97,79
32,46,49,33,63,73,62
205,220,237,247,270,247,214
88,84,119,132,119,118,97
71,70,77,82,115,92,74
83,84,82,92,104,89,99
125,129,167,154,85,89,205
71,62,64,62,70,66,47
151,121,130,135,138,141,146
68,76,89,88,73,113,95
239,322,275,286,310,346,291
94,68,75,76,90,117,84
78,72,79,95,139,100,72
133,148,153,145,202,200,149
69,75,85,101,91,116,85
150,219,187,193,330,348,159
173,162,181,208,172,173,167
110,124,122,167,176,167,83
62,79,85,73,113,95,66
99,99,131,101,60,112,106
218,191,168,140,82,7,200
20,27,37,41,58,64,41
187,151,164,130,114,160,180
115,130,142,137,109,89,135
49,33,47,58,62,90,27
92,74,108,115,99,95,79
158,147,105,143,119,178,146
87,89,101,116,96,128,111
123,227,155,123,121,137,127
269,24,118,145,129,95,134
130,146,117,182,310,307,136
133,126,99,131,164,214,130
97,78,103,108,164,157,91
160,198,186,185,157,158,183
0,0,22,55,23,2,0
57,57,57,55,67,76,68
71,85,71,54,84,117,92
57,62,54,67,62,58,49
114,83,90,81,67,113,82
255,249,214,255,166,160,246
293,297,357,33,324,303,317
81,67,73,71,90,111,79
137,112,137,125,173,161,127
64,39,75,57,72,60,59
124,116,136,167,122,137,148
85,100,87,97,98,106,85
27,29,26,32,71,63,40
92,133,132,93,106,96,91
119,114,52,88,68,90,105
129,113,119,178,212,180,123
85,90,113,105,130,99,104
186,182,162,171,62,70,187
413,466,637,552,876,798,569
285,335,343,314,182,154,285
137,132,120,162,173,312,141
109,119,92,117,116,134,92
144,117,78,88,106,56,52
41,49,65,61,84,73,72
190,190,196,153,122,197,236
79,44,71,89,99,80,73
157,153,151,225,195,193,132
0,0,0,0,0,0,0
74,61,43,38,58,98,77
84,94,134,132,154,144,97
81,87,95,83,57,46,107
94,88,67,85,101,102,71
59,78,52,84,118,123,48
96,90,75,80,126,106,76
132,67,72,78,48,40,47
301,241,213,236,241,307,277
156,90,113,165,196,226,127
95,84,81,94,114,119,86
134,111,135,163,178,187,118
188,208,167,239,267,314,177
71,65,114,107,136,231,96
69,81,72,85,109,115,81
187,188,208,130,106,43,194
60,50,63,77,93,91,48
125,117,119,168,181,189,123
69,85,162,88,116,118,90
67,77,112,116,67,82,96
486,551,469,583,674,703,525
77,66,91,62,51,72,72
84,74,87,112,136,121,60
53,53,56,60,71,74,58
0,4,21,23,93,85,33
64,69,72,75,72,70,63
201,248,172,222,462,483,277
135,137,110,101,115,184,134
69,68,68,88,98,120,61
77,94,97,87,111,96,103
76,70,81,57,76,92,66
101,117,96,77,118,153,127
155,174,127,133,242,250,157
100,80,70,96,120,111,76
73,88,67,72,75,60,70
154,49,145,134,101,98,132
144,123,159,198,305,317,105
64,89,81,94,76,98,87
129,127,98,110,69,76,116
65,59,57,42,46,79,66
86,81,65,63,65,76,84
0,0,0,0,0,33,62
84,91,79,112,123,112,94
118,88,104,113,128,134,63
111,109,70,93,31,42,81
95,64,82,84,49,41,83
42,38,47,66,134,151,26
86,80,69,70,76,60,86
84,80,74,0,89,82,63
101,98,98,59,113,110,77
49,55,58,41,58,65,70
56,64,78,85,85,104,54
125,128,116,120,77,70,129
75,79,73,91,138,149,70
197,190,195,192,216,209,190
160,145,123,142,240,246,139
209,237,195,237,307,322,223
118,138,158,132,110,95,134
87,101,100,119,148,166,92
99,137,76,95,96,104,84
118,112,94,134,181,184,101
155,165,193,187,162,159,172
137,145,69,54,53,64,192
130,90,103,85,44,41,126
179,159,170,212,236,238,176
32,32,41,34,61,39,36
115,127,128,119,101,116,138
58,62,61,69,63,79,65
23,23,34,30,52,54,31
466,421,566,287,485,406,511
206,266,210,310,320,315,231
222,237,303,241,386,340,182
1408,1555,1718,1653,1559,1584,1714
73,102,84,109,221,184,98
175,158,160,140,170,144,146
44,29,31,145,254,226,118
45,2,0,1,74,72,108
92,108,105,118,124,141,92
297,328,363,384,384,381,301
181,190,120,162,178,229,103
66,39,76,100,105,94,62
89,63,80,114,135,88,74
71,77,48,64,88,122,75
603,545,593,547,436,644,672
103,129,133,120,48,33,127
72,93,74,97,188,171,63
76,72,76,74,31,27,74
53,77,77,64,98,79,70
377,295,329,388,476,701,477
118,113,121,189,181,161,137
34,24,28,34,49,34,21
144,142,126,193,139,155,157
111,110,83,102,91,104,99
49,106,145,42,155,77,116
66,49,57,68,84,80,62
99,132,164,151,122,159,190
89,123,93,115,148,134,95
163,191,155,141,133,142,184
132,132,141,155,218,168,149
70,68,65,56,44,64,67
138,113,111,85,79,110,147
113,113,103,146,151,176,98
56,48,83,13,90,88,92
110,127,94,139,150,174,109
74,101,91,108,110,128,94
63,57,68,88,82,124,57
108,118,102,79,61,86,116
46,39,45,66,82,74,52
70,72,49,10,111,73,50
107,101,90,114,94,102,105
100,123,157,206,173,168,111
33,36,50,67,83,64,40
78,86,103,94,136,136,74
116,125,151,133,166,196,125
130,143,118,194,205,211,139
156,151,153,188,238,194,159
311,346,318,396,330,301,308
174,217,188,204,285,418,216
186,192,193,177,119,142,212
98,138,133,107,73,90,116
211,260,260,248,152,244,241
110,119,109,123,121,100,139
152,170,135,211,268,269,161
14,31,35,31,48,37,44
111,94,97,109,97,76,107
55,66,39,71,71,63,76
77,79,76,66,68,63,83
40,60,41,79,82,62,26
73,77,76,105,133,128,88
354,347,375,364,269,229,301
180,211,208,198,65,69,200
36,36,47,56,47,75,44
80,82,80,81,91,100,59
220,217,207,179,146,154,225
51,45,43,70,98,94,49
193,222,188,202,177,182,272
133,106,102,92,66,74,139
23,36,55,53,130,110,49
80,70,86,95,115,116,72
105,84,89,89,23,30,99
83,100,95,101,159,160,98
179,158,133,146,176,311,184
89,81,64,131,126,107,90
48,79,76,59,123,136,63
292,286,241,158,149,180,342
69,85,87,78,102,120,137
260,259,208,233,156,136,194
472,414,422,468,763,953,475
57,49,67,80,127,150,51
196,231,274,366,288,403,266
50,61,37,45,74,86,50
0,0,0,0,0,0,0
42,35,45,46,44,67,35
196,168,156,156,52,34,170
85,71,67,64,78,88,62
237,221,252,209,189,187,206
55,60,45,70,91,89,47
271,336,240,295,374,467,310
122,138,107,107,65,137,111
50,57,49,77,93,90,42
89,76,91,86,25,47,90
222,200,220,242,226,237,235
201,145,138,137,200,267,204
54,77,68,64,97,112,62
97,102,87,82,107,115,85
105,102,102,107,120,147,104
589,669,611,543,678,750,704
114,111,94,105,110,88,97
80,66,55,54,50,35,62
42,49,73,57,58,54,48
233,299,380,330,327,562,410
78,72,60,100,108,148,74
242,239,197,217,229,274,235
104,69,79,88,64,76,63
53,58,44,52,71,56,47
78,54,59,82,119,127,71
102,120,129,103,131,105,104
72,70,81,95,169,123,90
92,105,115,105,62,63,114
122,141,124,170,130,124,146
77,64,71,85,134,104,68
218,212,277,356,287,243,167
60,35,42,37,35,50,62
29,43,24,29,45,96,33
42,57,83,58,83,91,61
86,80,90,97,132,109,64
62,64,81,65,77,68,65
69,51,48,52,76,55,40
51,54,64,63,103,171,54
145,138,152,103,94,67,146
51,63,71,82,117,128,66
178,184,222,351,241,260,153
84,70,80,115,88,101,74
85,79,83,93,243,205,75
76,72,72,105,188,211,104
378,395,476,502,582,602,505
56,37,47,40,51,59,55
39,48,45,45,72,74,38
51,47,46,60,76,69,40
96,99,115,131,114,128,100
98,108,95,96,85,132,145
511,493,499,507,664,939,557
80,158,186,384,348,341,169
186,172,140,140,167,237,193
35,54,58,74,43,76,111
662,714,400,637,546,638,699
228,207,196,242,304,371,242
377,341,315,275,84,39,332
95,155,136,142,115,122,148
274,223,280,276,236,261,271
271,275,342,365,411,374,286
255,182,200,230,225,345,277
79,62,50,78,73,90,59
303,318,354,311,135,93,324
190,183,180,105,113,151,193
228,246,248,222,225,170,192
96,88,108,89,70,60,99
348,281,308,274,204,282,268
185,186,177,267,151,174,214
55,62,60,66,64,64,58
66,61,56,27,74,98,39
85,72,65,62,50,77,82
117,103,99,151,100,136,126
77,102,77,123,101,121,87
111,69,79,52,78,96,87
147,158,179,162,130,135,166
83,97,99,129,153,162,104
41,39,57,79,67,94,61
55,59,48,91,168,164,48
75,88,88,96,39,36,91
119,107,102,101,109,211,84
51,49,42,65,75,69,41
514,617,552,1114,1491,1507,529
213,211,180,181,140,151,184
49,12,40,56,70,68,57
82,99,109,7,198,169,90
183,161,178,161,144,138,170
106,97,85,112,94,93,91
241,241,255,386,573,547,244
118,109,128,63,97,87,122
104,95,178,227,460,364,145
498,572,566,674,1134,965,525
141,144,129,135,140,170,125
75,68,71,78,51,41,82
64,60,53,65,39,29,70
54,53,69,59,133,151,72
102,94,80,75,94,133,72
121,122,112,116,113,138,110
78,82,78,96,109,106,60
96,103,65,86,94,91,96
133,125,102,142,156,182,102
262,248,178,196,176,283,273
58,65,82,86,97,82,56
134,120,116,130,117,102,131
48,62,73,89,209,177,48
56,66,67,48,68,49,53
101,104,102,90,84,156,105
318,284,335,389,394,341,320
97,87,70,57,61,84,92
61,65,51,88,103,105,84
55,40,35,61,70,83,43
125,26,90,53,27,67,110
154,154,124,113,137,117,160
77,82,81,76,74,134,79
90,69,94,108,143,156,69
131,151,138,105,66,111,128
116,105,103,102,57,40,97
91,78,74,97,91,99,83
93,132,90,103,99,109,49
112,103,101,116,124,141,106
67,55,56,55,60,66,40
85,70,73,76,80,74,65
153,165,128,122,164,152,163
55,65,70,66,42,47,63
83,87,110,82,71,119,107
580,576,669,607,634,911,720
126,141,142,135,78,71,118
32,46,34,48,96,102,42
74,65,59,99,173,180,66
85,71,66,72,69,103,102
124,132,131,128,92,104,143
112,98,102,76,72,117,126
41,53,36,36,69,56,40
60,47,57,72,92,87,57
59,77,83,91,139,155,95
52,54,41,54,60,60,47
39,52,33,50,54,69,56
114,124,65,112,113,148,124
55,61,61,59,63,82,57
99,92,87,91,100,96,96
46,63,69,65,86,76,47
132,163,121,149,143,193,155
183,208,189,240,182,262,170
103,125,95,125,57,76,112
188,159,145,131,139,203,182
105,89,90,104,77,97,107
89,89,127,112,142,210,101
35,35,21,30,40,33,37
171,151,176,192,258,275,177
152,143,115,97,10,0,32
191,199,200,209,216,284,274
93,90,93,98,62,60,101
264,261,294,312,390,348,238
137,97,121,89,109,158,105
110,133,101,104,35,53,145
137,139,151,240,159,158,155
55,77,80,92,104,73,83
112,108,113,106,95,132,117
94,65,80,89,92,59,72
121,131,129,140,139,139,124
121,122,113,134,171,150,126
126,160,131,125,79,77,124
101,109,77,114,126,153,118
130,163,139,175,216,192,140
176,211,166,202,209,216,197
144,129,109,147,116,119,165
128,121,97,112,144,153,131
76,61,99,70,94,66,100
102,102,105,100,125,97,101
175,166,182,203,175,166,198
100,83,110,108,116,194,109
76,79,93,131,127,115,88
43,56,98,112,78,124,67
74,93,98,114,117,78,109
73,79,51,66,90,90,67
94,87,98,98,138,169,77
345,366,314,290,209,195,310
146,176,127,148,123,121,173
103,110,97,70,31,42,94
299,258,267,229,400,570,331
146,146,166,140,127,143,171
100,85,92,158,222,233,78
87,95,105,96,117,126,87
